Stat,Schema,08:33:48,08:43:49,08:53:49,09:03:49,09:13:49,09:23:49,09:33:49,09:43:49,09:53:49,10:03:50,10:13:50,10:23:50,10:33:50,10:43:50,10:53:50,11:03:50,11:13:50,11:23:50,11:33:50,11:43:50,11:53:50,12:03:51,12:13:51,12:23:51,12:33:51,12:43:51,12:53:04
mdc,ldlm_cancel,0,2230,106104,138,3,0,14,0,3,0,1,11350016,1,0,0,109416,3632,0,0,0,0,0,1143321,0,1251921,0,0
mdc,mds_close,0,58544128,106104,0,0,0,0,363167,0,465053,7638,0,10976,0,0,456,4318,0,54,0,2,0,0,0,0,0,0
mdc,mds_getattr,0,453,0,6,2,0,2,0,53,0,73161,0,69027,0,0,0,105603072,0,0,989756,1048576,0,16957,0,19215,0,0
mdc,mds_getattr_lock,0,513,1216,0,204797,0,504769,9704,0,6756,340,106237952,410,0,0,19,920,14656,0,3,3,0,158907,0,167874,0,0
mdc,mds_getxattr,0,321,1216,0,0,0,185324,46255,6941,67835,0,0,0,0,0,1220,6251,2565077,0,15978,0,0,718,0,772,0,0
mdc,mds_readpage,0,3153920,204,0,2892,0,119788,298,0,311,13,0,448,0,0,1220,5231,0,0,133160,2,0,0,0,0,0,0
mdc,mds_statfs,0,143,96,0,32105,0,0,18,0,0,0,569561,0,0,0,204,41259008,0,0,719,504769,0,13,0,17,0,0
mdc,mds_sync,0,0,848,0,175,0,2288,15,0,3,722,1,0,0,0,96,5580,14669,0,0,628576,0,625500,1194205,3,1302834,0
mdc,reqs,0,392,1828,0,0,0,2284,0,415306,0,519158,8464,0,0,0,26904271,0,478,0,57,628548,0,625476,0,0,0,0
mdc,wait,0,598,64,0,7,0,69884,0,0,0,0,81535,0,75817,0,0,1557,2659431,0,0,1041869,0,12892,17843,2,19994,0
vm,pgpgin,0,0,1048,0,104,256766,96,0,10965,0,7395,379,0,442,0,0,6493,0,0,0,3,0,130780,167103,504769,176117,0
vm,pgpgout,0,6,2290,0,864,0,152,0,52734,0,73073,0,0,0,0,0,0,3632,0,0,16763,0,130780,747,628576,826,0
vm,pswpin,0,0,60551168,0,85716,3811,0,0,335,0,326,14,0,484,0,26894416,0,4318,0,0,140222,0,342072,0,628548,0,0
vm,pswpout,0,0,467,0,548,39167,0,0,19,0,0,2216,623503,504769,0,9855,0,105603072,0,0,738,0,108,14,12892,17,22384
vm,pgalloc_normal,0,0,919,0,0,213,0,0,17,0,4,2216,1,628576,0,625496,0,920,0,1430,0,0,864,0,1248295,0,1352119
vm,pgfree,0,0,588,0,2,0,0,0,0,468569,924,569971,9238,628548,0,625472,0,6583,0,397494,59,0,85716,0,0,0,0
vm,pgactivate,0,0,5521408,0,504769,12,0,0,0,0,0,0,86809,12892,0,12892,0,5492,0,0,764,1093967,552,0,18586,0,20802
