Cycle,08:33:48,08:43:49,08:53:49,09:03:49,09:13:49,09:23:49,09:33:49,09:43:49,09:53:49,10:03:50,10:13:50,10:23:50,10:33:50,10:43:50,10:53:50,11:03:50,11:13:50,11:23:50,11:33:50,11:43:50,11:53:50,12:03:51,12:13:51,12:23:51,12:33:51,12:43:51,12:53:04
Virtual memory statistics,0.0,197775214.0,271503526.0,329669997.0,399461827.0,462687358.0,518307539.0,578649922.0,640380474.0,709987858.0,850265745.0,921001890.0,967029530.0,1036488728.0,1096863295.0,1157240012.0,1228022204.0,1275209513.0,1344714661.0,1391925236.0,1460704375.0,1521211265.0,1583021996.0,1652712827.0,1698891339.0,1768272756.0,1822590514.0
QPI Link Layer for SNB (HSW) (per socket),0.0,8760824280.0,52297669454.0,113708954615.0,158096731621.0,231976021246.0,272211956821.0,349398427197.0,391240282325.0,467479880154.0,526071371965.0,586709460100.0,662877517158.0,705322001622.0,782319264152.0,823241010707.0,900382544253.0,960383747047.0,1018142533046.0,1095109548122.0,1137658054598.0,1214328683020.0,1263550107940.0,1333239598994.0,1403883445949.0,1451417321780.0,1527914070973.0
Caching Agent (CBo) for SNB (HSW) (per socket),0.0,38231009214.0,127566022355.0,248470530283.0,343397568119.0,486929608607.0,575273910842.0,720311263363.0,814103303224.0,957519456313.0,1076563986444.0,1194798924220.0,1341076939310.0,1432092940642.0,1578898611670.0,1669630923131.0,1813050051974.0,1936450544375.0,2050825138484.0,2197158681043.0,2288180461302.0,2433752308257.0,2537015226443.0,2669388502777.0,2807398958940.0,2905753445883.0,3049647644672.0
Power Control Unit for SNB (HSW) (per socket),0.0,581987217605.0,1153404420962.0,1741080944575.0,2339668904746.0,2944443128019.0,3550652707292.0,4106609058895.0,4718114105186.0,5253805969586.0,5845984763800.0,6456716002430.0,7052986353568.0,7672264249776.0,8266569431016.0,8883871121483.0,9479175904284.0,10081072887340.0,10652749520951.0,11262451590516.0,11863723435201.0,12451653269561.0,13067561505368.0,13632372429124.0,14229316215295.0,14786211889976.0,15332467646715.0
Integrated Memory Controller for SNB (HSW) (per socket),0.0,3799068944.0,31536558496.0,73564101907.0,103421917316.0,155650423357.0,182888764327.0,237380124582.0,265859693196.0,319661460774.0,360479297480.0,402121059031.0,456102798918.0,484996886070.0,539666049545.0,567321810063.0,621187738887.0,663441980580.0,703348128860.0,757716989350.0,786149215416.0,840282024193.0,874292177751.0,923121430629.0,972957874248.0,1005163586512.0,1059286469203.0
Infiniband usage (default),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intel Haswell Processor (HSW) (per core),0.0,2158933813909.0,4346289548189.0,6639952200033.0,8820502832453.0,11020264246023.0,13280258807782.0,15454857345496.0,17707278082285.0,19839029240440.0,22131919825086.0,24276060778919.0,26542201716529.0,28717604361575.0,30896631591078.0,33141898084128.0,35251013306978.0,37542948729982.0,39701107653024.0,41924249404578.0,44145275163919.0,46322356214476.0,48555923663681.0,50688889832438.0,52970091898752.0,55135238134510.0,57198955885777.0
InfiniBand usage (sw),0.0,3052559979.0,5668161002.0,7342353812.0,9971961056.0,11972187583.0,14395506099.0,16401566116.0,19133227694.0,21742735875.0,23520256659.0,26125671372.0,27794215260.0,30400197122.0,32411622098.0,35121662824.0,37756455979.0,39543738840.0,42165729399.0,44047733129.0,46588179260.0,48602530944.0,51322729901.0,53943937398.0,55713644377.0,58333458407.0,60112671190.0
Process statistics,6933.0,1992542.0,4183911.0,5857014.0,7960225.0,10053287.0,11804032.0,13881293.0,15872819.0,18003768.0,19621992.0,21730027.0,23352151.0,25359411.0,27375499.0,29332786.0,31589338.0,33233647.0,35354937.0,37062152.0,39151798.0,41233489.0,43307375.0,45454544.0,47134181.0,49267049.0,50898530.0
Home Agent Unit for SNB (HSW) (per socket),0.0,1510994713145.0,3108824609195.0,4730832252469.0,6315562344028.0,7981686282386.0,9559309581455.0,11198812106519.0,12798360171550.0,14476574025527.0,16084604426933.0,17676168276422.0,19306820879465.0,20850141354053.0,22474798504526.0,24020732018907.0,25630188033833.0,27230110100272.0,28845133361645.0,30466667467646.0,32039198910373.0,33675414679117.0,35247504508540.0,36901453377558.0,38529659713584.0,40122988255259.0,41661609085039.0
