Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:05:27,29006170.727,1624837.714,0.0,98604738.3,245537919.0,566571993800797.1,564299166426219.8,569339209716951.8,450462376750303.8,198022404806731.0,422413476530490.5,38864927816421.75,75841753711.667,8821022464.0,12824022.304,1.5223041225876815e+18,92161733.333,170549.667,19892526.0,0.0,66996230.0,26656.667,149670686.619
00:05:31,11991635.182,391234.857,0.0,23399865.9,58269874.5,284952065187927.25,282766773257304.5,287758276701962.0,225278533317188.4,97139172294682.0,211299551237667.0,21125326736100.5,18578807393.333,8805863424.0,6070849.435,0.0,34088609.667,169734.467,4811968.286,0.0,66996230.0,19128.333,62721419.048
00:15:27,29188726.0,1633404.571,0.0,99117145.5,246813941.0,566756475395842.5,564367812331296.8,569682716516253.2,450467582852591.6,198133619890928.0,422423747281190.5,39052553672679.51,75865208953.0,8820916480.0,12986580.217,1.5223041225876815e+18,92426818.0,170549.667,20012985.286,0.0,66996230.0,26688.667,150232592.952
00:15:31,12074705.273,399802.429,0.0,23919492.7,59563699.75,285136550659562.06,282835233025972.75,288101010484283.0,225283748042141.6,97252244152044.98,211309834725904.25,21312407530812.0,18602312474.0,8805943040.0,6110603.87,0.0,34576709.333,169734.467,4930802.286,0.0,66996230.0,19112.333,63412485.857
00:25:27,29490846.455,1641973.571,0.0,99660007.7,248165530.75,566968110136774.1,564445679542330.0,570046223308507.8,450473488955111.6,198230247040244.16,422435377260968.5,39264775623861.25,75891039087.333,8821128448.0,13035878.217,1.5223041225876815e+18,92690544.667,170549.667,20106826.857,0.0,66996230.0,26610.0,150990964.81
00:25:31,12174909.545,408369.571,0.0,24437840.5,60854424.0,285319211049751.0,282902982664883.25,288442413808253.0,225288883672642.8,97366550416079.5,211319960472791.75,21497663907309.0,18625619519.0,8806039552.0,6159514.174,0.0,35079148.667,169734.467,5053510.571,0.0,66996230.0,19131.333,64076418.429
00:35:27,29888388.455,1650542.286,0.0,100179163.7,249458393.5,567164501728738.5,564517989696185.5,570397474086062.5,450478958674555.6,198336567013534.34,422446113915747.75,39461908964556.75,77259748222.667,8821029376.0,13091907.087,1.5223041225876815e+18,92884489.667,170549.667,20207828.286,0.0,66996230.0,26624.667,152033290.905
00:35:31,12246802.636,416937.0,0.0,24960090.9,62154836.0,285506694690375.2,282972377707800.0,288787575960322.75,225294168916395.8,97477269370440.67,211330410982634.75,21687359658681.754,18649371398.333,8806341120.0,6215525.739,0.0,35611294.0,169734.467,5167443.857,0.0,66996230.0,19128.333,64763046.571
00:45:27,30442033.455,1659109.857,0.0,100698037.7,250750503.5,567352513913811.9,564586773043951.8,570746610407286.2,450484174636535.6,198446388602448.0,422456373951663.0,39649897782824.0,77283540794.667,8821153024.0,13140973.043,1.5223041225876815e+18,93153743.667,170549.667,20321890.0,0.0,66996230.0,26638.0,153619993.714
00:45:31,12323536.091,425505.429,0.0,25474631.3,63436093.75,285704735010187.56,283046256226671.75,289140735909762.0,225299767954790.6,97581885953344.98,211341448990660.0,21888920437611.754,21362604181.333,8805985792.0,6251476.522,0.0,36133039.333,169734.467,5263711.143,0.0,66996230.0,19128.333,65444741.476
00:55:27,31077971.091,1667678.286,0.0,101206044.9,252015814.5,567552847606922.9,564660983298275.8,571101529231066.5,450489794106169.6,198549964691822.03,422467384401513.75,39852092905802.25,77308365638.667,8821173248.0,13181615.174,1.5223041225876815e+18,93438685.0,170549.667,20416582.857,0.0,66996230.0,26657.0,155291869.667
00:55:31,12395059.364,434073.286,0.0,25984633.9,64706118.5,285891374555214.2,283114758384640.75,289484293408757.25,225304997457881.6,97694654565516.0,211351728665606.75,22076190846207.754,21386237881.667,8806028544.0,6292394.435,0.0,36570138.0,169803.0,5379436.857,0.0,66996230.0,19131.333,66052578.667
01:05:27,31704262.091,1676246.143,0.0,101717147.7,253288760.5,567744326142495.4,564732022259013.2,571451556104319.5,450495217065609.8,198656770454171.5,422478013481727.0,40045998404897.75,77332459572.0,8821250304.0,13220862.783,1.5223041225876815e+18,93825929.0,170549.667,20525922.857,0.0,66996230.0,26654.0,156967589.0
01:05:32,12471797.273,442641.429,0.0,26505846.7,66003977.0,286087390333728.25,283187744839773.5,289835668541739.5,225310547233132.4,97800594087138.67,211362671925613.5,22275453887071.754,21410749547.667,8806050048.0,6327854.478,0.0,36914901.0,169803.0,5479133.857,0.0,66996230.0,19144.333,66657850.381
01:15:27,32311142.182,1684814.857,0.0,102229098.7,254563735.0,567944653288951.8,564805345192903.0,571807118182846.2,450500787962054.6,198759279396816.0,422488987702550.5,40246512986370.49,78701584642.333,8821219072.0,13257124.87,1.5223041225876815e+18,94230336.667,170549.667,20619690.857,0.0,66996230.0,26590.0,158794707.905
01:15:35,12626409.364,451208.0,0.0,27005060.7,67247204.5,286252420402142.56,283248467583856.0,290161300592095.0,225315157411827.8,97928570582752.98,211371746853962.25,22441695978893.5,21432456927.0,8805825280.0,6478053.304,0.0,37248000.667,169803.0,5630290.714,0.0,66996230.0,19116.0,67298045.381
01:25:27,32791711.364,1693383.429,0.0,102760033.9,255885885.75,568139972458565.9,564878453786310.8,572158034666781.2,450506305938550.0,198865803732628.0,422499859094693.75,40446039078481.51,78726022306.333,8821347328.0,13302396.0,1.5223041225876815e+18,94621366.333,170549.667,20722092.857,0.0,66996230.0,26593.0,160186744.095
01:25:35,12735926.0,459821.714,0.0,27531313.7,68557805.0,286453155296032.06,283323213844349.5,290517803752829.0,225320841830279.6,98030852809258.17,211382919874854.75,22645711623019.0,21457417389.333,8806412800.0,6521005.913,0.0,37674428.0,169803.0,5725562.714,0.0,66996230.0,19103.0,67957036.048
01:35:28,32869195.455,1701950.429,0.0,103280406.1,257181663.75,568312514285382.5,564942395150240.8,572490434671274.8,450511157932320.6,198987611827057.66,422509408861016.25,40621055435062.49,78748433010.667,8821364480.0,13341012.217,1.5223041225876815e+18,94912377.333,170549.667,20860477.143,0.0,66996230.0,26606.0,160642797.429
01:35:35,12792545.182,468390.429,0.0,28036419.5,69815677.75,286644387627210.44,283393250837368.5,290864801936082.25,225326182901495.6,98140571427300.83,211393430307874.25,22837357783751.5,22825737120.667,8806160896.0,6559927.348,0.0,38130590.333,169803.0,5833429.286,0.0,66996230.0,19132.0,68602078.095
01:45:28,32952269.727,1710517.857,0.0,103806076.7,258490668.75,568499682747126.8,565012254242027.8,572835310778925.0,450516448047798.2,199099447149686.34,422519874020511.5,40812175363253.75,78772137379.333,8821352704.0,13384590.696,1.5223041225876815e+18,95213060.333,170549.667,20975403.143,0.0,66996230.0,26654.0,161131505.0
