Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
07:04:19,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8571034368.0,0.0,0.0,0.0,1118485.867,139.714,0.0,0.5,5992.0,0.0
07:14:19,1158594.273,8671.857,328382.294,562626.5,1399945.5,66712561.545,7200775.75,182773649960.75,13288144.6,254974460011.333,6419984.25,76580295.0,8573418752.0,47802.739,0.0,16990.333,1118485.867,28042.571,0.0,0.5,6457.0,1316365.762
07:24:19,1494160.0,17244.143,631402.529,1081476.1,2691323.25,127119696.0,14406624.25,364579291235.0,26374748.8,506952457746.167,12525836.5,151975620.25,8573944576.0,91906.87,0.0,29856.667,1118485.867,54595.0,0.0,0.5,6491.333,1685089.238
07:34:19,2036031.0,25814.429,946756.353,1621595.3,4035505.75,181424610.727,21871905.5,545006511827.5,27698509.4,758870064100.5,18921777.0,227909835.25,8574550016.0,144641.478,8.059257119581843e+17,44306.0,1118485.867,81917.857,0.0,0.5,6561.333,2319919.619
07:44:19,2100850.182,34384.571,1248730.294,2138636.3,5322386.5,233746924.364,29661152.25,725860799298.0,28167391.4,1010981957250.0,24759721.5,297882919.5,8574527232.0,184679.783,8.059257119581843e+17,57515.0,1118485.867,108431.429,0.0,0.5,6545.333,2430525.571
07:54:19,2169395.182,42954.571,1547844.294,2650738.9,6597033.25,280247426.0,36687706.25,907712621927.25,28674991.2,1263201044869.167,30780077.0,370754731.25,8574728704.0,222541.609,8.059257119581843e+17,70856.667,1118485.867,134745.0,0.0,0.5,6509.0,2544955.667
08:04:19,2258422.727,51525.0,1842735.294,3155544.7,7853592.75,322749164.182,44069584.25,1088725525374.75,29218362.8,1515219162908.667,37319398.75,446785904.0,8574614016.0,265522.348,8.059257119581843e+17,84191.333,1118485.867,161287.857,0.0,0.5,6578.333,2672888.619
08:14:19,2344097.273,60095.714,2142709.765,3669134.1,9131931.5,369264133.909,50965161.0,1269194246800.75,29722515.4,1767512499256.333,43085448.5,518549360.75,8574648064.0,309282.522,8.059257119581843e+17,99126.667,1118485.867,187479.571,0.0,0.5,6579.333,2795390.524
08:24:19,2426421.273,68666.143,2468573.941,4227387.9,10521127.5,405687549.545,58199307.75,1449565127894.5,30218970.4,2019793327044.333,49221417.75,593904567.25,8574841344.0,353705.826,8.059257119581843e+17,111026.333,1118485.867,214809.143,0.0,0.5,6544.333,2910287.762
08:34:19,2607062.909,77236.571,2763426.765,4732122.1,11777524.75,446006404.545,66203206.25,1629966978015.25,30807635.8,2271937848497.666,56080271.0,678365134.25,8574722304.0,405268.391,3.581892053147494e+17,133227.0,1118485.867,242409.429,0.0,0.5,6602.667,3166102.952
08:44:19,2677465.273,85807.0,3058813.824,5237796.7,13036221.75,484677274.636,73299783.0,1810312023511.75,31273944.6,2524349444512.166,62065293.25,751451647.0,8574714624.0,441989.435,3.581892053147494e+17,146071.0,1118485.867,268568.571,0.0,0.5,6586.667,3272393.143
08:54:19,2759418.273,94377.429,3355896.235,5746398.9,14302189.5,526021783.091,80573859.0,1991214706901.5,36635815.2,2776814038064.834,68306959.5,825170308.25,8575182592.0,486313.0,3.581892053147494e+17,159277.333,1118485.867,294844.857,0.0,0.5,6578.0,3392859.238
09:04:19,2880475.455,102948.0,3661209.529,6269135.1,15603260.25,574273249.182,88291571.0,2172075361254.25,49848973.8,3028348743429.5,75707899.25,905911876.0,8575115264.0,536933.304,8.059257119581843e+17,176734.667,1118485.867,321879.0,0.0,0.5,6617.0,3573032.333
