Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
07:04:19,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8572138752.0,0.0,0.0,0.0,139.429,0.0,0.5,6038.667,0.0
07:14:19,1205871.636,8674.143,322090.882,551728.7,1373063.0,42629468.273,5685728.0,182975698345.75,13215527.4,255411056668.833,6565854.75,70135205.5,7174736.667,8574365440.0,38069.174,0.0,16275.0,28728.571,0.0,0.5,6503.667,1314675.0
07:24:19,1508656.636,17247.286,623711.765,1068153.9,2658474.5,82663313.818,10798672.5,364358409770.75,26335517.8,507440163100.667,13530062.75,133267657.75,14254543.333,8574748672.0,79475.783,0.0,29968.0,56392.143,0.0,0.5,6522.0,1649335.667
07:34:19,2082560.455,25818.286,936693.647,1604135.5,3992459.5,126225259.818,16004275.5,545889537260.5,30363439.6,759160782537.333,19975586.25,199910326.0,21343576.0,8575479296.0,128943.0,1.0745676159442458e+18,45062.667,84091.571,0.0,0.5,6592.0,2289642.0
07:44:19,2169351.273,34388.857,1233240.824,2111769.7,5256139.5,167754854.545,21056329.75,728383442012.0,30822216.4,1010623065379.0,26080367.0,265311527.0,28428124.333,8575729664.0,169003.043,1.0745676159442458e+18,59126.667,110923.0,0.0,0.5,6592.0,2400048.0
07:54:19,2259867.364,42959.571,1527777.294,2615930.5,6511203.0,208216112.909,26600941.5,909282293160.5,31227591.0,1263013428226.0,31998360.5,331572159.75,35510934.0,8575668736.0,206955.391,1.0745676159442458e+18,72231.0,138058.714,0.0,0.5,6587.667,2514467.048
08:04:19,2338091.364,51530.429,1820056.235,3116198.1,7756575.5,248874368.909,32208739.75,1089904911841.25,31695578.6,1515228673066.5,38193242.0,401011301.0,42585338.667,8575450624.0,249619.087,1.0745676159442458e+18,86822.0,165189.143,0.0,0.5,6593.0,2636744.19
08:14:19,2412595.182,60101.0,2116851.647,3624270.3,9021312.5,289062345.182,37811927.25,1270498478169.75,32136570.4,1767590901322.833,44260994.25,472533187.5,49660530.333,8575443200.0,296520.217,1.0745676159442458e+18,101041.0,192431.429,0.0,0.5,6609.0,2741061.429
08:24:19,2497155.364,68671.571,2439798.118,4177458.1,10398025.5,334421006.909,43240819.25,1450632486510.75,32601292.4,2020128417241.167,50562910.0,544233349.25,56714583.667,8575631872.0,334127.652,1.0745676159442458e+18,115288.333,220627.0,0.0,0.5,6604.667,2858882.857
08:34:19,2732546.0,77242.857,2731886.118,4677393.3,11642597.75,376666719.818,49110109.0,1632651915039.75,33144499.4,2272164166808.666,57606659.75,620077567.75,63806683.0,8575675904.0,388363.261,4.4773650664343654e+17,140694.667,248668.429,0.0,0.5,6631.0,3127674.905
08:44:19,2802949.909,85813.429,3024198.471,5177728.9,12888137.75,417555351.545,54665403.5,1813541993175.0,33550882.8,2524666565164.666,63417255.0,693101286.5,70895529.0,8575543808.0,425792.783,4.4773650664343654e+17,154470.667,275732.571,0.0,0.5,6583.333,3234032.857
08:54:20,2887137.636,94384.0,3316066.235,5677267.1,14131760.0,437151470.727,60266964.25,1993829191712.0,36096470.0,2777025761669.666,69747026.75,765639737.75,77959752.0,8575938048.0,467497.739,4.4773650664343654e+17,169470.667,302733.429,0.0,0.5,6605.667,3342963.857
