Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:06:21,10690366.636,171419.857,0.0,12502557.0,31154156.0,7060968576839.091,280058938226.5,7617090481209.25,13652643880.8,1555270759342.167,150907483654.5,1123838254503.0,9979044264.667,9488697856.0,1932603.348,650073.0,1168080.933,642190.143,0.0,3.5,13203.333,14492007.333
00:16:21,11520422.0,179990.857,0.0,12976349.2,32334054.25,7441657342580.0,284282628919.0,8066307072443.0,13737142797.2,1555274841778.667,152165172323.25,1138257602796.5,10003791650.333,9487133952.0,1973787.696,674877.333,1168080.933,689942.143,0.0,3.5,13171.333,15729539.714
00:26:21,12366778.364,188562.0,0.0,17831128.0,44463045.75,7800458829659.454,292716344350.75,8474856045645.0,15607207424.4,1598441648916.167,157048606499.25,1187398677737.0,10031102936.333,9520832256.0,2018925.652,721495.333,1168080.933,763730.857,0.0,3.5,13201.667,16987385.048
00:36:22,13194874.636,197133.0,0.0,18284423.6,45591838.5,8143041555935.728,306659609503.75,8841427310305.5,18413602289.0,1690974407766.0,164914586052.25,1268720274353.75,11404975805.667,9522419712.0,2071648.391,750606.667,1168080.933,790207.857,0.0,3.5,13168.0,18226018.333
00:46:22,14010668.636,205704.0,0.0,18742449.4,46732382.75,8485203780477.0,320132977790.0,9207337284629.75,21208526800.4,1783377929933.667,172680102526.5,1349182339270.75,11434605595.0,9521560064.0,2121081.957,777119.333,1168080.933,816802.143,0.0,3.5,13136.0,19461602.762
00:56:22,14809322.636,214275.143,0.0,19202073.4,47876917.75,8836410972056.455,335064054443.5,9573195879288.0,23792718158.4,1872037455625.333,180722267286.0,1430550838623.25,11464147660.333,9528669952.0,2165170.043,805778.333,1168080.933,843264.286,0.0,3.5,13185.333,20681785.19
01:06:22,15007868.182,222846.286,0.0,19677541.6,49060781.25,9195245229587.455,350486619922.75,9938017520143.5,25961952194.8,1957330727640.333,188519034465.0,1509262547761.5,12837706213.333,9527945472.0,2207806.13,829478.0,1168080.933,871157.143,0.0,3.5,13121.333,20994564.238
01:16:22,15121110.091,231417.0,0.0,20149040.8,50234793.75,9575888895056.273,370707414993.0,10303637121370.25,28548460958.6,2045778433772.167,197319515186.25,1602546423052.75,12867269927.667,9552488192.0,2248731.087,865705.333,1168080.933,901993.571,0.0,3.5,13153.333,21138578.762
01:26:22,15202326.727,239988.286,0.0,20624939.4,51419735.0,9957400676190.0,399292423053.0,10694592789975.25,33644112074.4,2128723684674.167,207670073535.5,1740981683516.25,12897190712.667,9579432704.0,2290141.609,897620.667,1168080.933,936459.857,0.0,3.5,13185.333,21287760.333
01:36:22,15307002.818,248559.143,0.0,21093509.4,52586650.5,10342237566370.818,424257436098.75,11117887871780.5,37933421563.0,2168968066272.0,219074816218.5,1862842536685.25,12926867095.333,9594852352.0,2328743.0,929077.333,1168080.933,965444.857,0.0,3.5,13185.333,21434383.381
