Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:09:04,10553672.273,85709.286,0.0,312560155.9,781090633.0,3993894525853.546,3543180124879.25,4579202435522.25,1322467273531.2,188496572957.5,274320531028.0,1309684179071.25,0.0,502365367.833,49129.8,8987913472.0,426402.739,0.0,693802.667,51352.6,1290239.2,1652763.143,0.0,0.5,22133.0,75977603.952
00:19:04,10619985.091,94280.429,0.0,312963578.9,782095980.25,4403413728809.182,3903069750701.0,5042236150777.0,1454832178641.8,203663527499.333,302047378390.75,1446091804418.0,0.0,502702662.0,54654.1,8988042496.0,466290.826,0.0,711238.0,57155.7,1296468.0,1683108.286,0.0,0.5,22133.0,80903538.571
00:29:04,10703057.091,102851.714,0.0,313363589.5,783093018.0,4808116157084.272,4263545989347.25,5505162096173.0,1587142680976.4,218379809638.167,329807345839.75,1582260659716.5,0.0,503040551.333,59803.8,8987257088.0,508131.522,0.0,720115.667,62426.5,1268116.0,1738788.143,0.0,0.5,22197.0,86123313.333
00:39:04,10771975.636,111422.571,0.0,313761130.5,784083898.5,5215636466987.637,4621036955724.25,5968174149189.25,1719543057163.0,233045390426.5,358845142304.5,1717121657244.5,0.0,503379019.5,64873.8,8987514112.0,543877.478,0.0,733838.0,67798.0,1277849.6,2154306.286,0.0,0.5,22149.0,91940075.19
00:49:04,10827486.091,119993.714,0.0,314154842.5,785065350.5,5620029383575.363,4980481755057.75,6420039970093.5,1848818816459.8,249299183279.167,384328491341.5,1863252799648.25,0.0,503718271.0,69737.0,9010810624.0,586165.174,0.0,4504507.667,72821.9,1285252.533,2588432.286,0.0,0.5,22165.0,97839462.19
00:59:04,10884112.909,128564.429,0.0,314559120.5,786072937.5,6023048694938.909,5343121094200.25,6869283844343.75,1977179524509.6,266157756184.667,406329849794.75,2007766788354.25,0.0,504059534.167,74915.2,9002046976.0,621077.348,0.0,9746839.333,78335.6,1252022.933,2804755.714,0.0,0.5,22149.0,105608667.476
01:09:04,10951914.727,137135.571,0.0,314960995.1,787074573.25,6432722436743.909,5706899989546.5,7319667919227.25,2105578365490.8,281561677206.0,429338479082.5,2161303603531.0,0.0,504400794.167,79785.6,9009121024.0,659978.13,0.0,13696491.0,83569.8,1277058.933,2835104.0,0.0,0.5,22165.0,111310460.619
01:19:05,11035360.545,145706.286,0.0,315384011.9,788128375.0,6844084382445.637,6072488257793.5,7770089235165.75,2233948171777.2,295951315307.833,452202403757.75,2320233859092.0,0.0,504742097.833,85179.8,9010954496.0,695167.435,0.0,17632154.0,89288.1,1276315.467,2866477.571,0.0,0.5,22181.0,117127713.905
01:29:05,11224563.818,154277.0,0.0,315797940.5,789159763.75,7255355934079.091,6437579592709.75,8220401463234.0,2362282813431.0,310925415860.167,474967275800.25,2479393440927.5,0.0,505082340.167,90286.9,9008156672.0,748467.826,0.0,21457377.0,94821.0,1269427.2,2897954.429,0.0,0.5,22187.0,122809088.714
01:39:05,11296835.636,162848.143,0.0,316209721.9,790185681.0,7667297450103.454,6802023376564.75,8670940076378.5,2490588151092.2,322295648310.833,497697191693.0,2636538663667.75,0.0,505415860.0,95716.0,9007012864.0,787006.043,0.0,24934112.333,100625.0,1264057.067,2928807.571,0.0,0.5,22235.0,127792495.381
01:49:05,11366870.364,171419.143,0.0,316635200.3,791245456.75,8077483814945.818,7164043219682.0,9120552496763.5,2618839949450.2,330839859792.0,519523939861.25,2786562004203.75,0.0,505750205.333,101508.5,9009835008.0,825986.696,0.0,29706983.333,106956.0,1270964.8,2981778.571,0.0,0.5,22187.0,134773327.238
01:59:05,11433180.545,179990.143,0.0,317045614.9,792268087.0,8489854726382.728,7528612333904.25,9570630438303.75,2747068671534.8,340347908926.5,540665177995.5,2937358799930.0,0.0,506085878.667,106960.2,9017269248.0,868086.174,0.0,33830974.0,113010.5,1278439.2,3250800.286,0.0,0.5,22171.0,140791892.619
02:09:05,11488312.818,188561.143,0.0,317442701.7,793257770.0,8904553890062.092,7892989975500.25,10020818862316.0,2875301801547.8,351847013274.833,561413688235.0,3084171368838.5,0.0,506422127.5,112387.3,9019982336.0,914071.739,0.0,37974379.333,118811.3,1297418.933,3453591.857,0.0,0.5,22219.0,146806534.286
02:19:05,12328229.455,197132.286,0.0,317847355.3,794266195.0,9320244161356.637,8259032365535.75,10471398172968.0,3003577013052.0,365230886604.167,582379027848.5,3233404803903.25,0.0,506759978.167,117416.6,9008806400.0,1083067.913,0.0,41852894.0,124242.2,1269432.533,3544593.0,0.0,0.5,22287.333,153254060.667
02:29:05,13590602.909,205703.429,0.0,318251408.1,795273144.25,9737225566629.455,8623605422119.25,10921873699562.75,3131828046774.2,379007095774.5,603672414342.75,3384980384554.5,0.0,507098418.833,122524.8,9007957248.0,1128843.652,0.0,45378221.0,129808.3,1265335.467,3587869.571,0.0,0.5,22271.333,159426710.238
02:39:05,14836213.182,214274.286,0.0,318646853.1,796258842.0,10149052785616.545,8984745864284.0,11371024815503.75,3260043437712.0,395371973950.333,624264345242.75,3532449807994.75,0.0,507438037.5,127614.9,9021196544.0,1174899.87,0.0,50304488.667,135347.5,1296957.067,3648545.714,0.0,0.5,22239.333,167636885.571
02:49:05,16084048.727,222845.571,0.0,319045889.1,797253474.5,10566423558194.545,9347320142058.25,11821225621955.25,3388290140353.0,409575150509.667,645189931753.0,3683087112937.0,0.0,507779666.0,132724.4,9010847744.0,1217374.739,0.0,54024884.667,140787.8,1269680.267,3693996.429,0.0,0.5,22271.333,173921934.619
22:29:03,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8575798272.0,0.0,0.0,0.0,0.0,1152681.333,1116.429,0.0,0.5,20699.667,0.0
22:39:03,4763875.636,8570.429,0.0,307705425.5,768986530.75,375720880524.273,321795764056.25,425089871562.75,131286888509.0,39473367499.833,22773034907.0,113476823573.0,0.0,497669381.167,4565.7,8986956288.0,46398.609,0.0,380907.333,4719.5,1152681.333,92136.571,0.0,0.5,21931.333,15510603.714
22:49:03,6146516.818,17141.0,0.0,309350103.5,773090856.25,782141906094.273,672527024171.75,876547206647.75,264054119212.0,60756619891.0,51470274474.75,248197570022.5,0.0,499682423.833,9134.9,8986586880.0,104106.565,0.0,397560.333,9445.9,1285605.067,139705.429,0.0,0.5,22129.333,20857835.238
22:59:04,7863188.909,25712.857,0.0,309751898.7,774092294.0,1201970822943.454,1038256078704.25,1340883963317.0,396931120118.4,71728055922.667,80975000611.25,386518275839.0,0.0,500023005.167,14270.6,8987346944.0,142935.087,0.0,411356.667,14928.4,1265306.133,419175.571,0.0,0.5,22089.333,26634668.905
23:09:04,9124036.273,34284.143,0.0,310147726.9,775078806.5,1611702488409.182,1395550743279.25,1803803257876.0,529380876725.2,87082117252.167,110317034098.0,525041590132.0,0.0,500356174.5,19125.9,8987399168.0,189406.913,0.0,587295.0,19938.9,1294677.6,693233.857,0.0,0.5,22105.0,32132911.381
23:19:04,10232532.364,42854.0,0.0,310545148.1,776069278.75,1968157406291.364,1750946385638.25,2265380303423.5,661101878548.2,106104462053.0,134984367402.0,647404827003.5,0.0,500689527.833,23865.8,8987202816.0,232130.304,0.0,603939.0,24881.7,1281448.0,1316891.143,0.0,0.5,22180.667,41899312.095
