Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:03:26,50367935.727,1247421.857,0.0,72645193.5,181109635.0,117696449859983.27,10109618554316.25,67023068914090.0,21692681716497.0,7884941099606.667,8250771271628.5,50088548184588.49,0.0,48184088.333,1133434.4,10177853952.0,6781165.174,5876569.333,1138453.9,1152175.333,32193182.286,0.0,65751045.0,31400.0,60960851.619
00:07:54,5297113.636,17143.429,0.0,14314950.1,35767794.5,1652193344518.636,119362633159.5,888428884087.25,297106885020.6,136573315440.0,100958901727.0,635923856305.25,0.0,662112.0,3041.7,9874900992.0,84263.435,129916.667,3322.1,1152175.333,438347.143,0.0,65751045.0,23763.333,6233806.143
00:13:26,50468890.636,1255993.286,0.0,73045468.7,182107101.25,118493161402176.73,10186506765005.0,67485227718356.25,21843278292708.4,7887170388768.333,8292130133398.75,50343654843226.75,0.0,48515144.333,1140316.3,10177905152.0,6831372.261,5908397.667,1145497.9,1152175.333,32421333.429,0.0,65751045.0,31383.667,61090524.286
00:17:54,6422668.364,25715.429,0.0,14727221.1,36794943.5,2471916434725.909,188558267867.0,1350977524345.75,445866829462.4,191116535945.0,158384722374.75,985381390937.25,0.0,993168.0,6653.3,9778711296.0,243759.565,176735.333,6315.5,1152175.333,659194.429,0.0,65751045.0,23873.0,8046054.333
00:23:27,50554206.091,1264565.143,0.0,73448651.1,183111791.25,119294072384644.1,10263428824605.5,67947249411782.0,21993885488673.4,7889407608285.167,8333278113109.75,50597992082967.25,0.0,48846200.333,1147132.6,10177934080.0,6871343.217,5939565.333,1152576.4,1152175.333,32648940.143,0.0,65751045.0,31351.667,61205739.429
00:27:54,6751943.455,34287.0,0.0,15144356.5,37834163.25,3291310724065.818,257808585659.25,1814917446138.5,594016919098.4,235137300557.5,216342529416.0,1335430889968.5,0.0,1324224.0,10180.0,9778648320.0,283822.087,210511.333,9184.3,1152175.333,891996.286,0.0,65751045.0,23921.667,8429039.238
00:33:27,50667828.0,1273136.857,0.0,73852599.3,184118395.5,120093782415893.81,10341585528298.0,68409129589533.75,22144757694108.6,7891622112645.5,8375169289714.0,50854213746267.51,0.0,49177256.333,1154143.8,10177972992.0,6925376.565,5972349.0,1159732.1,1152175.333,32877038.714,0.0,65751045.0,31383.667,61329793.857
00:37:54,7408232.455,42859.0,0.0,15555323.9,38858088.25,4107887229909.0,326600439760.25,2277481696854.0,741986004352.8,280067536820.167,274385883225.25,1685902225973.0,0.0,1655280.0,15787.2,9778204672.0,331092.913,250093.333,14157.8,1152175.333,1112664.429,0.0,65751045.0,23928.0,8923210.143
00:43:27,50761709.818,1281708.286,0.0,74255921.1,185123420.25,120897308822600.9,10415476810882.75,68868442702820.25,22295431764654.0,7893553615220.333,8415147344990.0,51103654842973.51,0.0,49508312.333,1160493.6,10178007808.0,6968015.217,6003116.333,1166247.2,1152175.333,33105453.429,0.0,65751045.0,31383.667,61439256.286
00:47:54,7953162.909,51430.857,0.0,15971927.5,39895904.75,4915261892222.909,398602306004.0,2740112228297.25,891289706125.2,332978950193.167,332655904510.25,2038821633896.5,0.0,1986336.0,23943.5,9778493952.0,374977.522,285145.333,21813.3,1152175.333,1333161.571,0.0,65751045.0,23906.333,9349283.524
