Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
15:43:23,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9087657984.0,0.0,0.0,0.0,1111195.933,956.571,0.0,0.5,209587.333,0.0
15:53:23,485338586.364,8572.429,1108.235,4254594.3,10624643.0,220986890187.455,79849707477.75,449819786852.5,17880929510.4,6333841896.5,33704310507.75,300418189046.25,1370859778.667,9090540288.0,49486.261,1433.204,8512124.0,1111195.933,437114.571,0.0,0.5,209715.0,517319559.952
16:03:23,977104475.455,17143.286,1885.0,4995138.3,12468089.0,419005282196.0,161567534494.75,899647559051.0,35572943174.4,13652354609.667,67219846033.75,600851156640.25,1397756685.333,9090428928.0,102754.261,3257.049,16760132.5,1111195.933,869733.857,0.0,0.5,209766.667,1041610316.714
16:13:23,1429674676.545,25714.714,2863.824,6517365.9,16264552.25,615840272648.545,243179010496.75,1349085055903.0,53603844713.2,21502877852.0,101062036889.75,902793974834.25,1424667665.333,9091612672.0,155047.174,4251.301,25164484.833,1111195.933,1297840.714,0.0,0.5,209695.333,1524333100.905
16:23:23,1923282268.182,34286.571,3857.824,8045544.7,20075657.0,814091420212.273,325177352620.25,1798429243261.25,71537648937.8,29040417526.167,134686890936.25,1204213062053.75,1451672686.667,9091720192.0,206820.348,5788.816,33370898.667,1111195.933,1729672.857,0.0,0.5,209753.667,2051913405.333
16:33:23,2513692370.182,42857.714,4810.824,9907310.5,24720563.25,1013615799447.364,406932329201.75,2247928939651.0,89374031565.0,36666971800.833,168294225020.25,1506645002199.75,2823072461.333,9091927040.0,258336.391,6947.34,41722240.0,1111195.933,2178053.143,0.0,0.5,209739.333,2677823171.571
16:43:23,3052189748.636,51429.0,5644.353,10636186.1,26534469.5,1214685915423.636,489773495396.25,2698376102001.0,107906357463.8,44197857022.167,202608582849.25,1811048196101.25,2850177027.333,9092030976.0,310652.739,6950.039,50034225.667,1111195.933,2618839.429,0.0,0.5,209739.0,3246904178.762
16:53:24,3590194954.455,60000.286,6491.882,11373810.9,28370215.5,1422003034427.091,574385520644.5,3147529515808.0,127081200475.2,51182385985.667,237501593766.0,2116309365377.0,2876657802.667,9089376768.0,363812.348,7867.248,58369933.0,1111195.933,3069690.429,0.0,0.5,209742.667,3819159890.238
17:03:24,4150356036.636,68571.714,7309.471,12083607.3,30136733.5,1629399397605.0,659616671369.5,3596412569668.25,146802571694.2,58248232564.0,272757986518.75,2423263275532.0,4247225987.667,9089089024.0,414207.739,7939.112,66796918.667,1111195.933,3501140.714,0.0,0.5,209790.333,4413666093.286
17:13:24,4709970474.636,77142.857,8118.529,12795395.9,31908244.25,1836670487802.818,745029745870.25,4045025437564.0,166317260298.0,65400604120.0,307713556013.75,2730866324375.25,4273590360.333,9089955840.0,465144.435,8127.49,75120764.833,1111195.933,3938171.857,0.0,0.5,209775.0,5008084927.381
17:23:24,5266702320.273,85714.286,8924.412,13505047.3,33674443.75,2039594510836.727,827905200668.5,4494049117201.25,185280543085.0,72234303606.833,342304109232.25,3034415829519.25,4299903026.0,9089256192.0,516009.957,8936.063,83616733.167,1111195.933,4377126.571,0.0,0.5,209746.0,5598695448.762
