Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
07:04:19,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8570644224.0,0.0,0.0,0.0,1118485.867,139.571,0.0,0.5,6056.0,0.0
07:14:19,1291533.091,8672.0,323671.588,554474.7,1379823.75,45821673.091,6817142.5,183421180718.75,13349215.6,255121495113.833,6854913.0,80082395.5,8571235328.0,41564.13,0.0,12521.0,1118485.867,30101.571,0.0,0.5,6457.0,1325390.952
07:24:19,1563050.455,17243.857,625757.176,1071697.5,2667190.25,90855995.0,13224271.75,364870930263.5,26541774.6,507520482934.167,13304606.25,153421910.5,8571606784.0,85628.783,0.0,25384.333,1118485.867,57325.0,0.0,0.5,6507.333,1668022.762
07:34:19,2207333.545,25814.286,942215.529,1613727.1,4016091.0,136150616.727,20075093.75,546023903817.25,27717284.2,758910197590.833,20437026.0,226363008.25,8572641536.0,146483.435,8.954730132868714e+17,39483.0,1118485.867,85375.0,0.0,0.5,6609.333,2381008.19
07:44:19,2295617.909,34384.286,1239049.118,2121869.9,5281014.0,179666881.364,26741028.75,727344239234.5,28322549.0,1011359804189.833,26597291.75,299939086.5,8572670208.0,195901.435,8.954730132868714e+17,50999.333,1118485.867,112459.571,0.0,0.5,6625.333,2490713.762
07:54:19,2387622.636,42954.143,1538043.235,2633758.7,6555138.5,223486550.0,33694374.25,907984963415.5,28965790.0,1263392979413.667,33215907.75,369180851.25,8572721152.0,240208.826,8.059257119581843e+17,63486.667,1118485.867,139437.857,0.0,0.5,6589.0,2601397.333
08:04:19,2488199.455,51524.143,1830167.176,3133769.1,7799866.75,269331447.273,40051943.75,1088924353767.5,29590239.2,1515711720325.0,39685863.75,443579419.5,8572750080.0,283158.174,8.059257119581843e+17,76763.333,1118485.867,166205.429,0.0,0.5,6546.333,2734094.381
08:14:19,2566799.818,60094.286,2127974.412,3643597.5,9068931.25,314579463.909,46374046.75,1269165766478.5,30187475.8,1768079210204.333,46011404.0,518662890.25,8572800256.0,323374.783,8.059257119581843e+17,88925.333,1118485.867,193088.714,0.0,0.5,6578.667,2860098.19
08:24:19,2658811.0,68664.286,2451072.765,4197048.5,10446281.25,361354657.909,52374635.0,1450795362150.25,30796515.6,2019863131555.333,52374877.0,587048210.25,8572945408.0,370776.478,8.059257119581843e+17,102845.667,1118485.867,220741.286,0.0,0.5,6558.333,2975529.238
08:34:19,2898670.364,77234.0,2742500.353,4695845.7,11688033.75,408913357.0,58913724.75,1632793671920.0,31456438.0,2271857761907.0,59364359.0,664509191.25,8572890880.0,415898.043,3.581892053147494e+17,129642.667,1118485.867,248539.714,0.0,0.5,6600.667,3241631.381
08:44:19,2986210.636,85804.0,3033588.706,5194066.3,12928341.5,455877896.273,65128516.0,1812846471449.75,32036948.4,2524207156230.334,65493246.5,737633386.0,8572927488.0,452508.435,3.581892053147494e+17,141804.333,1118485.867,275255.429,0.0,0.5,6600.667,3350489.571
08:54:19,3096097.273,94373.714,3326495.294,5695415.1,14176418.75,504346528.818,71557552.5,1993789178915.0,37771229.4,2776434391572.166,72020234.0,814202688.5,8573101312.0,497539.435,3.581892053147494e+17,154512.667,1118485.867,302490.857,0.0,0.5,6591.0,3478605.381
09:04:19,3224982.909,102943.857,3624315.471,6205161.7,15445432.0,552184839.818,78228270.0,2175176672871.75,51054130.2,3028281897386.334,79458919.75,890354754.75,8573154048.0,541351.087,8.954730132868714e+17,172021.0,1118485.867,329795.143,0.0,0.5,6643.333,3654223.81
