Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
07:04:19,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8572801536.0,0.0,0.0,0.0,139.429,0.0,0.5,6023.333,0.0
07:14:19,1128420.0,8674.714,328130.235,562194.1,1398888.5,60989059.0,6592370.75,182763725487.0,13284220.4,255226495451.5,6533783.0,78264041.75,6796269.0,8575160832.0,33842.478,0.0,15210.333,28874.714,0.0,0.5,6504.0,1274092.19
07:24:19,1431580.909,17247.571,633887.941,1085772.5,2701956.25,122778012.182,13224852.0,362923328942.25,26369464.0,507582835486.167,12760047.75,157974540.75,13500941.667,8575459072.0,74376.783,0.0,28753.333,56618.714,0.0,0.5,6554.333,1616437.571
07:34:19,1951477.182,25818.143,949581.529,1626472.5,4047586.25,184485995.545,20074675.25,543917313513.0,31419279.0,759859758210.5,19355631.75,238965210.75,20231643.0,8576149248.0,124341.957,9.850203146155585e+17,43994.333,85037.143,0.0,0.5,6624.333,2320013.952
07:44:19,2022630.727,34388.714,1248589.294,2138377.5,5321808.0,242705587.091,26622508.0,724872347376.0,31930063.6,1011724228474.667,25458828.0,313193973.0,26968632.333,8576193024.0,177055.0,9.850203146155585e+17,57738.0,112025.143,0.0,0.5,6576.333,2433844.857
07:54:19,2123208.182,42958.714,1547006.412,2649271.3,6593484.25,304519820.273,33134248.0,905581384156.0,32474786.8,1263660898987.333,31817008.25,389463768.25,33700661.0,8576230144.0,224188.913,9.850203146155585e+17,71502.333,139292.571,0.0,0.5,6556.0,2559237.905
08:04:19,2224151.818,51528.714,1839383.824,3149717.5,7839295.25,364758275.091,39798939.25,1087338014881.75,33070309.2,1516008367868.667,38377224.25,467355975.25,40450438.333,8576278272.0,265844.826,9.850203146155585e+17,85609.667,166421.429,0.0,0.5,6561.333,2687550.571
08:14:19,2296047.364,60098.714,2138646.471,3662067.9,9114590.25,425486144.545,46447807.5,1268698235615.5,33572446.0,1768316469317.667,44443165.5,545230012.0,47201008.667,8576318720.0,306044.565,9.850203146155585e+17,99830.0,193767.143,0.0,0.5,6609.333,2806292.952
08:24:19,2379865.818,68669.0,2463344.118,4218292.9,10498796.5,482597464.545,52743180.75,1449379725315.0,34165218.6,2019784111613.167,51213376.0,618984381.5,53939834.0,8576332032.0,352762.826,9.850203146155585e+17,113130.667,221875.714,0.0,0.5,6573.0,2926909.619
08:34:20,2618602.091,77239.714,2760838.0,4727590.5,11766474.5,849965966.0,59646154.0,1629815203124.5,34794647.0,2271660355080.5,58054322.25,699854092.0,60682877.333,8576423680.0,396931.826,3.581892053147494e+17,139402.667,249972.143,0.0,0.5,6599.333,3193943.381
08:44:20,2705026.818,85810.286,3056554.588,5233824.7,13026573.0,913525397.273,66402266.75,1810044753276.0,35286439.8,2523978177904.5,64052357.25,776425520.75,67425019.0,8576472320.0,433535.174,3.581892053147494e+17,151830.0,277281.286,0.0,0.5,6599.667,3313376.476
08:54:20,2807094.0,94380.714,3349580.882,5735369.3,14275148.75,975273509.455,72922215.25,1990503791159.75,37029697.6,2775604560954.834,70553642.75,856286201.0,74158947.667,8576760576.0,477525.783,3.581892053147494e+17,166560.667,304655.857,0.0,0.5,6624.667,3456355.286
