Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
04:27:27,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8575276032.0,0.0,0.0,1166820.133,166.857,0.0,0.5,6595.667,0.0
04:37:28,2932989.364,8571.857,0.0,795082.7,1980209.0,96460299240.818,6639987576.25,179640172396.5,14813600.8,1573535091.667,42120834.75,25294119924.5,11875849.333,8619939584.0,42723.348,111530.333,1166820.133,58726.143,0.0,65961986.5,8925.0,3173766.714
04:47:28,2986643.818,17144.857,0.0,1221585.7,3042463.0,193333812057.364,15668162804.5,359292932112.75,18748834.8,1573535091.667,63194028.0,57271968125.75,23806177.0,8620716544.0,88094.391,121594.0,1166820.133,85993.714,0.0,65961986.5,8941.0,3271017.333
04:57:28,3209732.182,25717.571,0.0,1646768.9,4101493.5,290257855337.727,24420417572.25,538941651781.5,19658088.2,1573535091.667,84257967.25,89089069259.5,35730205.0,8621760512.0,125908.652,136720.667,1166820.133,112331.286,0.0,65961986.5,9004.667,3565883.524
05:07:28,3267108.364,34290.429,0.0,2073950.7,5165455.75,387197695202.454,33625066181.0,718592254783.25,20642888.4,1573535091.667,105417253.25,122105225793.5,47644726.333,8622075392.0,167757.522,146963.0,1166820.133,138868.714,0.0,65961986.5,8988.667,3665452.048
05:17:28,3408653.0,42863.286,0.0,2515547.9,6265404.25,484261018447.909,42871392391.25,898243873012.0,21601733.4,1573535091.667,126912088.0,155394667518.25,59567673.333,8622627328.0,209133.13,160066.333,1166820.133,164813.429,0.0,65961986.5,8987.0,3859036.81
05:27:29,3560258.273,51436.857,0.0,2941762.3,7326989.0,581148467270.909,51248356633.5,1077908179621.0,22877310.0,1573535091.667,154026871.0,185841852321.0,71499333.667,8625383936.0,252895.87,181734.0,1166820.133,191867.857,0.0,65961986.5,8961.0,4113187.619
05:37:29,3621361.182,60009.714,0.0,3369083.3,8391294.75,678122859595.727,59136495247.5,1257560862719.0,24893247.6,1574091975.0,183795440.5,215641762203.0,1427683944.667,8627908096.0,297837.435,219034.0,1166820.133,218306.857,0.0,65961986.5,8945.0,4237347.286
05:47:29,3680974.0,68582.714,0.0,3794092.7,9449866.5,774599824294.182,68162224339.5,1437218472555.0,27371867.6,1574091975.0,212857092.25,249360317554.25,1439596540.333,8628675328.0,349756.957,268037.667,1166820.133,244570.714,0.0,65961986.5,8977.0,4375198.571
05:57:29,3742823.273,77155.714,0.0,4216799.9,10502756.5,871009970952.091,77425694726.0,1616875998356.75,30099053.0,1574091975.0,241901175.25,283498496665.0,1451515774.667,8629316352.0,391428.087,321043.0,1166820.133,270716.714,0.0,65961986.5,8945.0,4531797.762
06:07:29,3803924.364,85728.714,0.0,4642967.7,11564173.0,967400679517.273,86689508182.75,1796534735447.25,35747311.2,1574091975.0,271415182.25,317631788229.75,1463438962.0,8629691648.0,433102.739,374924.667,1166820.133,296737.571,0.0,65961986.5,8929.0,4680316.19
06:17:30,3868009.0,94301.714,0.0,5068630.5,12624351.0,1063790570973.545,95866184896.0,1976192030814.5,51412399.2,1574091975.0,301572327.25,351537223557.5,1475344520.667,8630096384.0,474097.826,425916.0,1166820.133,323475.143,0.0,65961986.5,8977.0,4839218.048
