Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:00:19,4846301.091,17142.0,0.0,2638117.3,6584261.25,1790036931060.454,43897910840.5,855072737342.75,262510321665.8,144958389375.167,30570744966.25,202030115131.25,0.0,661624.333,11402.1,9523017728.0,76624.565,403046.0,10382.9,1152027.067,129718.714,0.0,3.5,27057.333,5523809.048
00:10:19,4947636.182,25713.286,0.0,3263491.9,8142910.0,2594560532609.818,54283709066.5,1299299082205.75,391195900491.4,167688169633.833,36149793389.0,244955320277.0,0.0,992680.333,20672.0,9532965376.0,118886.739,456755.333,18479.5,1152027.067,157114.714,0.0,3.5,27025.333,5703904.19
00:20:19,5152122.273,34284.286,0.0,5053266.7,12611316.0,3403379056834.909,71042523236.5,1731105220659.5,520146336811.0,231362353073.5,43589703071.0,308430617408.0,0.0,1323736.333,22351.4,9562692096.0,154953.957,486756.0,20263.7,1152027.067,196351.714,0.0,3.5,27066.333,5957107.048
00:30:19,5247125.818,42855.571,0.0,5766729.3,14390002.0,4249246643943.909,91498668557.25,2160563110100.5,649393565478.2,269111942578.0,52473212747.75,376155894464.5,0.0,1654792.333,32803.9,9548922368.0,201155.87,512667.667,29286.0,1152027.067,221118.429,0.0,3.5,27035.667,6115721.19
00:40:19,5327226.818,51426.857,0.0,8506698.5,21233350.5,5082967611168.0,104452390831.75,2608456575304.75,778223526739.6,290266305166.167,58489586782.25,423514644795.25,0.0,1985848.333,40743.4,9560088832.0,250863.913,543813.333,36769.5,1152027.067,246640.857,0.0,3.5,27067.667,6275505.952
00:50:19,5408073.091,59998.0,0.0,9184379.5,22923061.75,5942697207755.454,123553077902.5,3047095250315.75,907592775915.0,358487312337.667,67529021683.5,500339186717.0,0.0,2316904.333,50183.7,9560915456.0,289584.174,570027.667,45647.1,1152027.067,272979.429,0.0,3.5,27083.667,6423864.714
01:00:19,5508657.455,68569.286,0.0,12862962.3,32112223.25,6787410421899.454,140231479061.25,3493080664601.0,1036501548611.4,393042005733.5,76255657991.75,561913513731.75,0.0,2647960.333,59026.7,9561359104.0,324987.478,599748.333,54119.6,1152027.067,299732.714,0.0,3.5,27051.333,6585325.762
01:10:19,5569772.545,77140.714,0.0,13565533.5,33863972.0,7622957550334.0,167846184204.0,3931366706443.75,1166003140587.4,458018995619.667,89475238111.5,647793889123.25,0.0,2979016.333,67936.8,9560845824.0,367719.652,624489.333,62431.4,1152027.067,328616.143,0.0,3.5,27067.333,6731092.714
01:20:19,5658451.727,85711.857,0.0,18179564.1,45390436.75,8422725298996.818,180802783142.75,4378267215198.25,1294558063637.8,477302919144.333,96367402418.0,694963278431.5,0.0,3310072.333,74835.7,9560995840.0,403133.0,652732.333,69473.0,1152027.067,356620.0,0.0,3.5,27066.0,6902372.0
01:30:20,5821602.182,94283.286,0.0,18842012.9,47041930.25,9261445747293.545,207878689014.75,4818327970926.75,1423886122161.6,532795034338.167,108988967623.75,779736611789.5,0.0,3641128.333,82779.8,9563268864.0,442668.739,685914.0,76799.1,1152027.067,385689.857,0.0,3.5,27089.333,7194541.762
