Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
09:44:56,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8581994752.0,0.0,0.0,0.0,1230142.467,1056.571,0.0,0.5,10455.333,0.0
09:54:56,851725478.182,8564.143,0.0,41825641.7,104504284.0,300994434976.636,13307878457.5,452560973493.25,3394579109.4,8122788343.167,16321046317.75,97534065229.25,1371000702.667,8804176128.0,40814.783,0.0,3069215.0,1230142.467,1467351.0,0.0,0.5,11549.333,897138971.143
10:04:56,1648415009.727,17132.429,0.0,52881907.5,132125754.75,598942654957.818,28117599325.5,901819112662.0,5893962204.8,13336831389.167,29303747144.0,195472826190.25,2743171203.667,8851473152.0,89224.957,981862.908,6212175.667,1230142.467,2194827.571,0.0,0.5,11614.333,1734938137.857
10:14:56,2553145261.727,25703.571,0.0,53340352.3,133267301.5,894567281576.636,46284152296.0,1353686157248.0,9291773993.6,15026159301.0,43635773492.5,310526850240.25,2771833471.333,8783980288.0,140061.217,983291.427,8890522.0,1230142.467,2475459.286,0.0,0.5,11655.333,2686399193.571
10:24:56,3468735067.091,34274.857,0.0,53810672.5,134438186.75,1175288155304.818,63354182352.25,1802040203496.5,12498748771.0,19682141624.0,56160662097.0,424220393475.0,2800859691.667,8782049280.0,185657.913,984714.612,11714671.333,1230142.467,2701773.857,0.0,0.5,11578.333,3649980545.81
10:34:56,4431351502.545,42845.286,0.0,54277335.3,135600196.25,1462795074392.546,80691690799.25,2256397916077.75,16195762493.0,20843687271.333,69601370672.75,537538168161.0,4174230103.667,8794536704.0,238181.957,986537.097,15027903.0,1230142.467,2931822.714,0.0,0.5,25680.667,4662872429.048
10:44:56,5440181406.636,51416.429,0.0,54747195.3,136769908.25,1737872727457.727,99290545906.0,2710872157526.5,19689594194.4,21741111364.167,83209040407.75,653590435747.25,4203379437.667,8818341376.0,293195.565,987753.524,18928962.667,1230142.467,3114276.0,0.0,0.5,25651.0,5723591494.81
10:54:56,6443566223.727,59987.857,0.0,55198658.7,137893898.75,2031743981874.909,117151840979.0,3164705564397.25,23047302088.6,22583203838.667,95686704635.75,765282685222.0,4232252263.0,8776435200.0,335467.739,989213.267,22057749.333,1230142.467,3297926.286,0.0,0.5,25638.333,6778469700.857
11:04:56,7400616462.273,68558.714,0.0,55662149.5,139047982.75,2317560650363.636,134527408050.75,3618872586407.5,26219671371.2,24193187706.333,109116959146.75,878171378119.75,5605423475.0,8806501888.0,395973.435,990665.379,24903130.667,1230142.467,3513797.0,0.0,0.5,25618.333,7784994496.429
11:14:56,8412520915.636,77129.714,0.0,56130699.3,140214648.5,2616314368042.909,151528264196.5,4073005628266.75,29199328764.4,25130764155.5,121548071549.0,988758327921.25,5634464502.0,8791614208.0,457955.261,992499.888,28291759.667,1230142.467,3713186.429,0.0,0.5,25673.0,8848737273.762
11:24:57,9362939499.182,85701.0,0.0,56601681.9,141387414.5,2896690572010.364,168947524295.25,4527502074766.0,32122401371.2,25737127576.667,133519494530.0,1097200667608.25,5663442358.333,8820302336.0,499992.696,994700.32,32160477.333,1230142.467,3894593.714,0.0,0.5,25690.0,9848134812.048
11:34:57,10395889274.818,94271.857,0.0,66232296.3,165446983.5,3186325544051.727,185199477927.5,4980629418648.5,34946291527.0,28201260855.0,144760695067.75,1200676874927.5,5692086260.0,8809715712.0,548541.739,1845755.223,35695454.333,1230142.467,4115493.286,0.0,0.5,25624.333,10934482716.333
11:44:57,11294124231.0,102850.286,0.0,66705139.1,166624123.5,3447340845761.182,200868477335.25,5434167529478.5,37294818545.0,85002082919.333,154611034576.75,1299017788209.0,7063624294.0,8776023552.0,597044.478,1847275.82,39054433.667,1230142.467,4322553.429,0.0,0.5,25569.333,11879419460.905
11:54:57,12100818758.0,111424.143,0.0,67173353.9,167789847.5,3640847012435.273,211975091151.25,5886117480698.0,39000351758.8,165993124332.833,161320352676.5,1375097441002.75,7087860100.0,8751502336.0,646099.652,1848785.519,41660247.667,1230142.467,4515398.286,0.0,0.5,25470.0,12727880296.0
12:04:57,12792599130.909,120004.286,0.0,67643867.9,168961270.75,3816921828347.182,220098577901.5,6337536553476.25,40146120253.8,264306624905.333,167297749000.5,1435527066467.0,7110572012.667,8755880448.0,692546.391,1850319.529,43940864.333,1230142.467,4683787.429,0.0,0.5,25447.333,13454295043.571
12:14:57,13361184981.909,128580.143,0.0,68107774.7,170116367.25,3978602328366.818,228019179699.75,6788626969193.75,41075712311.2,414646636182.333,172314532314.25,1497642805286.0,7132186370.667,8735185408.0,733185.391,1851787.078,45748451.333,1230142.467,4850528.429,0.0,0.5,25409.333,14050653355.714
12:24:57,13922493405.636,137156.571,0.0,68567237.5,171260247.25,4156728897490.546,234063193969.25,7239097774305.75,41787970957.8,506105708023.833,175913545055.5,1545411445692.75,7151715753.667,8714219264.0,784835.261,1852572.947,47975216.667,1230142.467,5034456.714,0.0,0.5,25374.667,14640481260.524
12:34:57,14350869861.364,145729.429,0.0,69022914.1,172394815.5,4294370537735.0,238482922215.0,7689003912399.25,42234167188.0,639998009250.167,177849939314.75,1584963367320.5,8513858611.333,8708527616.0,842262.87,1853249.519,49550183.667,1230142.467,5191339.286,0.0,0.5,25328.333,15092082144.905
12:44:57,14704365185.0,154300.429,0.0,69477380.9,173526388.25,4376592438919.0,242465591791.5,8138729402388.5,42549828996.6,731178683947.5,179572964379.0,1620973703446.75,8530830204.333,8711326720.0,886433.522,1853807.233,50655736.667,1230142.467,5331386.714,0.0,0.5,25260.333,15466407484.095
12:54:57,14979882275.0,162871.429,0.0,69930974.5,174655800.75,4435252442163.546,245561288479.0,8588257788738.5,42788479789.2,831261037088.0,180839565865.25,1646663048778.75,8546977003.667,8690396160.0,949264.652,1854365.32,51431673.0,1230142.467,5455646.714,0.0,0.5,25365.0,15756691938.095
13:04:57,15300965153.455,171442.714,0.0,70382581.1,175780318.5,4476987118562.728,248640944931.75,9037851813644.0,42995253500.2,936341794697.833,182009105252.75,1677801083513.25,9907572093.333,8710256896.0,994591.609,1854952.602,52496802.333,1230142.467,5577301.0,0.0,0.5,25353.333,16094408872.0
13:14:57,15572110498.182,180010.0,0.0,70830997.9,176896938.25,4477805807774.182,251128693567.5,9487330984986.25,43157003599.0,1057728539621.667,182895470319.0,1701183014961.0,9923202610.0,8674893568.0,1046124.174,1855581.544,53778377.0,1230142.467,5689155.286,0.0,0.5,25305.333,16379602689.333
13:24:57,15778278477.727,188579.857,0.0,71268100.1,177985558.75,4478269073938.364,253323208386.5,9936637995373.25,43277336341.6,1160489815090.0,183475373562.25,1721838785184.0,9938194906.667,8665522944.0,1094213.522,1856016.515,54352573.333,1230142.467,5779814.429,0.0,0.5,25307.0,16595288321.476
13:34:57,15976892813.909,197148.0,0.0,71693786.3,179045965.25,4478862432428.546,255455110532.5,10385935989700.25,43379043079.6,1280632176276.167,183999036077.75,1741872664626.5,9952699490.0,8670897920.0,1145829.304,1856389.553,55112823.333,1230142.467,5866174.143,0.0,0.5,25306.667,16802819894.619
13:44:57,16149854815.636,205717.571,0.0,72124132.7,180117903.75,4479473516133.091,257356928450.5,10835197478964.5,43467207171.4,1336187693747.5,184512509676.25,1759725666283.5,11311351005.0,8675623936.0,1203937.739,1856820.908,55766117.667,1230142.467,5949729.714,0.0,0.5,25320.667,16984240139.905
13:54:57,16353882271.091,214287.143,0.0,72553887.5,181188323.5,4479974962694.909,259088326837.0,11284471741100.75,43560338298.0,1487947249981.167,185044466926.0,1773460780934.5,11325741638.0,8667289344.0,1248156.522,1857236.786,56690526.0,1230142.467,6037297.286,0.0,0.5,25276.333,17199165890.905
14:04:57,16526935810.545,222856.429,0.0,72987106.7,182267368.0,4480459060078.454,260853763560.0,11733738322354.5,43635794323.0,1571765989589.5,185492543631.75,1788199975532.0,11340122704.667,8671104256.0,1321213.304,1857688.121,57391917.333,1230142.467,6123462.286,0.0,0.5,25287.0,17380208705.238
14:14:57,16731714707.182,231425.571,0.0,73418110.7,183340891.5,4481036494309.546,262848654745.0,12183052619319.25,43719261194.2,1640134832657.833,186064160136.0,1805119791638.0,11354518700.0,8681900544.0,1380515.783,1858122.903,58317645.333,1230142.467,6217345.143,0.0,0.5,25275.667,17594967348.048
