Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
17:57:04,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8571202816.0,0.0,0.0,0.0,147.429,0.0,0.5,6132.0,0.0
18:07:04,358413995.818,8570.714,286144.824,488923.6,1218024.0,326959043745.636,84135461473.0,404549150684.25,4031052500.0,66653177008.5,15980494007.5,249025222669.0,1373351728.0,8630182144.0,48185.826,0.0,8374519.667,105005.429,0.0,0.5,6768.333,383068210.81
18:17:04,639534458.636,17140.857,558536.706,954452.2,2377599.75,659690746042.818,173765793659.0,806567139916.25,8294789356.6,132810153703.833,29057939553.75,509364732125.5,1402460448.333,8646466816.0,97273.087,0.0,16516751.667,199728.714,0.0,0.5,6766.333,685049791.381
18:27:04,924578069.182,25711.286,842828.706,1440336.0,3587831.75,986636787789.182,263640325117.0,1210322869393.0,12328696763.4,200753255330.5,42594214411.0,766471458581.25,1431415835.0,8622436608.0,146858.348,0.0,24412947.333,311014.143,0.0,0.5,6774.667,991132750.905
18:37:04,1218579469.182,34282.0,1119909.294,1913941.0,4767411.5,1316635552222.091,352979939850.75,1612429668428.25,16737104079.4,266010311397.5,56785300243.0,1027117538707.5,4149176282.0,8628210944.0,201738.609,0.0,33098407.333,406042.857,0.0,0.5,6758.667,1307138358.0
18:47:04,1505888552.545,42852.143,1401133.0,2394471.8,5964497.75,1643474816412.636,442630771216.5,2018758873947.5,20305526057.4,335067116356.667,70615165179.0,1282194350651.25,4178154374.667,8630323712.0,254357.043,0.0,40520232.0,515164.0,0.0,0.5,6775.667,1615005316.857
18:57:04,1779387794.273,51422.571,1676938.176,2865837.4,7138620.0,1974335144776.636,530496337241.25,2420083730146.25,25238779591.6,402262955649.5,82112215325.25,1538329148335.5,4206995469.667,8628818944.0,305015.087,0.0,49197540.0,609271.714,0.0,0.5,6791.667,1908814648.619
19:07:04,2039559331.909,59993.143,1960668.824,3350755.6,8346475.25,2301739036642.909,619595436707.0,2823380254089.0,29678575251.8,467778849200.167,95969420308.0,1794356194521.0,4235726961.333,8622828288.0,365717.739,0.0,57198436.0,711487.429,0.0,0.5,6800.0,2188254716.667
19:17:05,2292633312.273,68563.714,2232934.706,3816004.4,9505488.0,2632261494709.091,712801715180.25,3223403975490.75,34230082693.2,538788138334.667,108394913974.75,2062449064977.5,5609105533.0,8619474688.0,405047.652,0.0,65463387.0,799665.571,0.0,0.5,6784.0,2460965476.143
19:27:05,2545171461.818,77134.143,2512231.824,4293209.6,10694372.0,2958324400334.454,803109971213.25,3627560631062.0,38113273657.0,607394690320.167,122552502946.25,2320984758061.25,5638190921.333,8603184896.0,463367.174,0.0,73356292.667,902932.571,0.0,0.5,6838.0,2732597295.952
19:37:05,2827374908.545,85704.429,2819222.765,4817626.6,12001041.0,3280481423454.0,896049353768.75,4031340370832.75,42684388803.0,675293778577.5,134841074415.25,2581368890241.75,5666434764.667,8631719680.0,505611.565,0.0,80042321.667,1020156.0,0.0,0.5,6807.667,3034642515.095
19:47:05,2928495151.273,94275.143,3070800.294,5247698.2,13072125.75,3610224319081.364,958879863596.0,4426075091298.0,50955449863.8,752093879490.833,159327382963.25,2826156084916.25,5697830133.0,9300610816.0,540528.174,0.0,102231877.0,1055306.429,0.0,0.5,6807.667,3161932221.81
19:57:05,3078867792.909,102846.143,3324193.0,5680886.6,14150929.25,3932117197412.182,1022751702343.5,4821268780748.5,59688089450.2,830211694846.333,192269006031.5,3081068490512.75,7073802459.667,9416076288.0,589603.043,0.0,123015241.667,1096748.286,0.0,0.5,6823.667,3339650195.857
20:07:05,3215646569.273,111417.286,3573857.0,6107664.6,15213851.5,4234585271994.546,1139232541472.75,5239764929216.25,72212588780.0,915016039409.0,274872679822.75,3468036632980.75,7107317470.0,9415037696.0,632040.87,0.0,124364786.667,1135110.857,0.0,0.5,6758.0,3484185362.286
20:17:05,3306931542.818,119988.143,3825498.824,6537859.2,16285226.25,4542399146885.182,1254151626130.25,5654986992070.0,83590216794.4,1000988848491.667,352963512659.25,3845222986316.5,7140620421.333,9414824704.0,667153.13,0.0,124973944.0,1169009.0,0.0,0.5,6774.0,3580382501.048
20:27:05,3478644477.818,128559.0,4079941.176,6972867.8,17368537.75,4859893044750.909,1362588309454.0,6064679169771.25,94246733314.8,1082077629482.5,421485578466.75,4205254393828.0,8517792760.333,9416311296.0,713112.522,0.0,126423736.333,1211454.0,0.0,0.5,6758.0,3761798425.619
20:37:05,3556970203.182,137130.143,4329626.471,7399877.2,18431679.25,5174360840600.0,1479407803523.75,6484631086693.75,106930503615.4,1167516520656.5,499865293161.0,4596133027134.75,8551352396.0,9416630528.0,755395.87,0.0,128623629.333,1245286.143,0.0,0.5,6790.0,3845837084.571
