Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:03:58,79826277.364,2199723.286,0.0,18028176143001.8,35577449470575.75,206097119156420.47,5892331148137.25,105995768483384.5,32930705977381.0,24428848273294.5,1797815457011.25,25610286745782.5,12292.909,89261818.167,2916458.4,8659966720.0,11888032.87,0.087,4685002.333,2554532.9,33944.933,9973438409.0,0.0,13.5,29637.0,93613973.571
00:13:58,79942885.182,2208294.571,0.0,18084608230758.8,35718384242007.0,206900683246611.47,5915910090117.5,106407782405525.75,33059001526950.0,24526262617781.0,1804815847348.5,25711717567112.5,12292.909,89592874.167,2927589.7,8659997952.0,11927797.261,0.087,4703140.0,2566092.1,33944.933,10012612893.143,0.0,13.5,29669.0,93749231.667
00:23:58,80044966.0,2216865.714,0.0,18140960284488.0,35859118838171.5,207704371203014.47,5939491022484.0,106819612591975.75,33187301618706.8,24623943956972.332,1811811203892.75,25813176570417.246,12292.909,89923930.167,2938953.3,8660291840.0,11972136.174,0.087,4716745.667,2577756.1,33944.933,10051636087.571,0.0,13.5,29669.0,93870272.286
00:33:58,80130292.364,2225437.143,0.0,18423205634552.0,35999807500853.0,208508238842027.62,5963061078276.5,107232545227790.5,33315609685334.8,24721223877091.332,1818806610093.5,25914580706921.754,12292.909,90254986.167,2950195.5,8660377856.0,12016186.783,0.087,4738309.333,2589155.9,33944.933,10090746477.0,0.0,13.5,29637.0,93999323.333
00:43:58,80218965.909,2234008.429,0.0,18479203800210.2,36139658132172.25,209313296160542.72,5986393963601.0,107647374085989.5,33443914869641.6,24816853213548.832,1825752542949.75,26015332176738.0,12292.909,90586042.167,2961586.6,8660169728.0,12065986.522,0.087,4759642.0,2600785.8,33944.933,10129723545.286,0.0,13.5,29685.0,94117015.476
00:53:58,80325517.909,2242579.857,0.0,18535525957214.0,36280318138202.0,210117268482261.1,6009813252517.5,108061645872256.25,33572222774824.0,24912403505322.168,1832737943869.75,26116729982157.0,12292.909,90917098.167,2973321.3,8660098816.0,12102160.391,0.087,4781791.333,2612992.0,33944.933,10168941591.429,0.0,13.5,29669.0,94235337.143
01:03:58,80433562.909,2251151.143,0.0,18591860680455.6,36421009166942.49,210921090290757.62,6033270265536.5,108474527937369.75,33700530702833.0,25009623902402.668,1839720419259.5,26218158844426.0,12292.909,91248154.167,2985369.4,8660125440.0,12141547.696,0.087,4803331.667,2625335.4,33944.933,10208157356.429,0.0,13.5,29653.0,94360787.81
01:13:58,80524106.273,2259722.571,0.0,18648239722223.6,36561811205210.0,211723529703354.47,6056846158392.5,108886723970750.75,33828840308435.4,25107811770513.168,1846711844563.0,26319552909146.0,12292.909,91579210.167,2997668.8,8660159744.0,12170042.739,0.087,4824377.333,2637957.7,33945.467,10247331183.571,0.0,13.5,29669.0,94492545.333
01:23:58,80633639.545,2268294.0,0.0,18704691468805.6,36702794870102.49,212526611129998.1,6080422062506.75,109299151739464.25,33957150781516.4,25205575339888.332,1853713022234.0,26421304880106.5,12292.909,91910266.167,3010053.5,8660523264.0,12208999.435,0.087,4834741.333,2650780.4,33945.467,10286358198.714,0.0,13.5,29637.0,94623520.286
01:33:58,42976808.091,1042766.571,0.0,8463313947135.2,16728927646114.75,97568081255611.19,2785891231465.5,49997086872673.51,15611935688808.2,11864900712060.334,855972905670.0,12071100152602.0,6145.939,43000142.5,1463336.6,8656571136.0,5686439.87,0.049,1636536.333,1159414.1,33929.733,4739239284.143,0.0,13.5,29626.667,49211181.762
