Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),intel_hsw_cbo,intel_hsw_hau,intel_hsw_imc,intel_hsw_pcu,intel_hsw_qpi,intel_hsw_r2pci,intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
06:48:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8845030272.0,0.0,0.0,0.0,1398810.2,229.0,0.0,0.0,33454.0,0.0
06:58:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8845030272.0,0.0,0.0,0.0,1398810.2,229.0,0.0,0.0,33454.0,0.0
07:08:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8845030272.0,0.0,0.0,0.0,1398810.2,229.0,0.0,0.0,33454.0,0.0
07:18:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8845030272.0,0.0,0.0,0.0,1398810.2,229.0,0.0,0.0,33454.0,0.0
07:28:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8845030272.0,0.0,0.0,0.0,1398810.2,229.0,0.0,0.0,33454.0,0.0
07:38:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8845030272.0,0.0,0.0,0.0,1398810.2,229.0,0.0,0.0,33454.0,0.0
07:48:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8845030272.0,0.0,0.0,0.0,1398810.2,229.0,0.0,0.0,33454.0,0.0
06:48:53,52081974.0,8568.75,0.0,489465.0,1219363.0,171265680683.375,21785044137.5,450783015021.25,3209351965.0,132352207824.5,7576794059.5,102998454118.0,19280785.0,8894134144.0,58341.2,0.3333333333333333,5882212.0,1398810.2,254187.0,0.0,0.0,33480.0,113465781.0
06:58:53,52081974.0,8568.75,0.0,489465.0,1219363.0,171265680683.375,21785044137.5,450783015021.25,3209351965.0,132352207824.5,7576794059.5,102998454118.0,19280785.0,8894134144.0,58341.2,0.3333333333333333,5882212.0,1398810.2,254187.0,0.0,0.0,33480.0,113465781.0
07:08:53,52081974.0,8568.75,0.0,489465.0,1219363.0,171265680683.375,21785044137.5,450783015021.25,3209351965.0,132352207824.5,7576794059.5,102998454118.0,19280785.0,8894134144.0,58341.2,0.3333333333333333,5882212.0,1398810.2,254187.0,0.0,0.0,33480.0,113465781.0
